Dataset	BA	F1	MCC
I vs II random	0.4922779922779923	0.6370558375634517	-0.007797439374567833
I vs II random	0.4605263157894737	0.6483103879849812	-0.0398450915865044
I vs II random	0.44833367201788255	0.6491885143570537	-0.052157855775955664
I vs II random	0.6033326559642349	0.6539440203562341	0.10436638124196612
I vs II random	0.47429384271489533	0.6275510204081632	-0.025970721619739113
I vs II random	0.46982320666531197	0.6423173803526449	-0.030459740969309444
I vs II random	0.5247409063198536	0.6716232961586122	0.02499181092919048
I vs II random	0.49456411298516556	0.6633540372670806	-0.005489591228769557
I vs II random	0.47429384271489533	0.6275510204081632	-0.025970721619739113
I vs II random	0.5648242227189595	0.6531645569620254	0.06544558737030655
